PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_DTLB_ACCESSES,PERF_COUNT_SW_CPU_MIGRATIONS,PERF_COUNT_SW_PAGE_FAULTS_MIN,PERF_COUNT_SW_PAGE_FAULTS_MAJ,
44262828,181336322,0,22442,62,50,112,48786838,0,0,0,
45583202,185235110,0,17384,61,53,110,48777666,0,0,0,
46983691,188955226,0,19709,63,24,111,48805351,0,0,0,
48376182,193253971,0,20616,62,17,107,48751768,0,0,0,
39806049,169014517,0,23097,52,25,112,48311913,0,0,0,
39724618,168873270,0,22397,54,31,114,46942834,0,0,0,
39763204,168694864,3,23438,227,13,138,45551485,0,3,0,
39728837,168541098,0,18230,54,53,113,44109022,0,0,0,
39685269,168569060,0,20495,52,50,113,42837692,0,0,0,
39684652,168445219,0,19510,70,39,110,41683283,0,0,0,
49601579,196571863,0,19667,79,46,114,41728729,0,0,0,
49606301,196658219,0,19008,111,23,115,41688259,0,0,0,
49606764,196734089,0,19339,111,14,111,41720409,0,0,0,
49441610,196529741,0,20773,111,34,112,41664007,0,0,0,
49526050,196640689,0,23137,115,50,112,41721942,0,0,0,
49690431,196954213,0,23551,118,65,117,41743562,0,0,0,
49566797,196896661,0,25399,112,24,113,41729323,0,0,0,
39719349,169226084,0,21267,115,32,117,50122126,0,0,0,
39640554,168864258,0,19814,119,25,118,50049888,0,0,0,
39601526,168572943,0,17430,124,36,123,50057167,0,0,0,
39679670,168591335,0,15886,174,28,175,50066414,0,0,0,
39640162,168855446,0,17180,116,57,126,50061035,0,0,0,
39678977,168745394,0,18235,117,33,117,50015365,0,0,0,
39560314,168254321,0,18815,113,12,113,50060314,0,0,0,
39762302,164255318,0,16769,118,46,118,50168275,0,0,0,
39641627,164263721,0,16357,116,53,117,50058288,0,0,0,
39678125,164203872,0,15452,119,34,118,50097811,0,0,0,
39601224,164367509,0,16646,122,43,119,50074741,0,0,0,
39643559,164118813,0,15575,119,21,119,50098465,0,0,0,
39877713,163702183,0,15566,178,47,177,50314893,0,0,0,
38634827,163894486,0,19294,117,33,81,50261299,0,0,0,
38094914,164408674,0,19749,119,26,41,50194068,0,0,0,
38107701,164009050,0,19942,120,15,41,50122480,0,0,0,
38160156,164191908,0,18436,120,67,41,50149305,0,0,0,
38083846,164176891,0,16859,120,1,41,50155111,0,0,0,
38067984,164346979,0,15848,121,38,40,50156012,0,0,0,
38099936,164206807,0,17999,122,36,41,50153949,0,0,0,
38160922,164286808,0,19367,92,50,42,49180708,0,0,0,
38095232,164106891,0,21006,63,30,41,48809659,0,0,0,
38114616,164103727,0,22056,60,17,41,48823227,0,0,0,
38165280,164178909,0,18217,66,73,41,48907519,0,0,0,
38196102,164064463,0,21412,61,13,40,48862106,0,0,0,
38191928,164044463,0,19630,62,42,40,48791859,0,0,0,
38185645,164024638,0,19548,62,0,42,48812622,0,0,0,
39164287,167027366,0,19911,61,25,66,48845056,0,0,0,
40600104,170920781,0,13766,61,64,111,48734185,0,0,0,
42074688,175431348,0,16840,61,21,111,48808427,0,0,0,
43582592,179698758,0,17617,62,69,111,48704301,0,0,0,
45063074,183777375,0,17487,65,14,113,48718470,0,0,0,
46585848,188077027,0,19565,61,73,111,48829913,0,0,0,
47997792,191962023,0,20173,62,37,110,48690109,0,0,0,
39729128,168843813,0,20492,70,28,108,41745065,0,0,0,
49609631,196835939,0,22931,113,87,112,41740221,0,0,0,
49645757,196938521,0,23853,115,63,115,41720050,0,0,0,
49602454,196613782,0,21958,112,82,117,41669170,0,0,0,
49644228,197225154,0,18992,113,65,113,41823054,0,0,0,
49687928,197182146,0,23406,116,32,114,41833489,0,0,0,
49605834,196940137,0,24343,110,15,111,41732829,0,0,0,
39697170,168879226,0,20083,118,25,117,50077791,0,0,0,
39599697,168925544,0,16937,116,21,117,50076248,0,0,0,
39801889,169042517,0,16283,116,23,115,50144350,0,0,0,
39720452,168930859,0,18977,116,32,115,50120175,0,0,0,
39724733,168972737,0,16260,117,72,117,50116968,0,0,0,
39711713,168825492,0,17384,118,51,122,49984236,0,0,0,
39761680,166134062,0,18823,113,14,114,50206071,0,0,0,
39601844,164253480,0,19853,118,38,118,49997902,0,0,0,
39718720,164649662,0,19440,117,74,117,50029610,0,0,0,
39685394,164434719,0,15023,118,11,118,50098866,0,0,0,
