PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_DTLB_ACCESSES,PERF_COUNT_SW_CPU_MIGRATIONS,PERF_COUNT_SW_PAGE_FAULTS_MIN,PERF_COUNT_SW_PAGE_FAULTS_MAJ,
338804693,1401733761,0,12596,296,253,420,472275007,0,0,0,
338814975,1404776328,0,11395,307,298,464,472997163,0,0,0,
348780321,1431207470,0,12354,353,312,415,472558614,0,0,0,
338817303,1403489984,0,12683,364,455,425,481905609,0,0,0,
338801251,1395963730,0,11547,354,458,422,484023822,0,0,0,
338813256,1393054095,0,12775,356,349,416,481126465,0,0,0,
336989315,1390777968,0,11115,353,238,382,481806902,0,0,0,
334286146,1390477316,0,12814,362,392,347,481803877,0,0,0,
334299146,1390684419,0,12463,335,272,346,481218863,0,0,0,
333158992,1388705358,0,11983,302,290,404,476914762,0,0,0,
334827000,1393591229,0,12232,374,384,439,476881074,0,0,0,
340405517,1402191859,0,11104,302,338,408,479983372,0,0,0,
340360098,1411374960,0,12706,304,380,407,475415298,0,0,0,
348312168,1432212316,0,12517,301,261,410,476150081,0,0,0,
338819938,1402696159,0,11723,308,305,410,472310444,0,0,0,
348779383,1430261532,0,12260,406,335,467,472301734,0,0,0,
348776958,1430033842,0,11162,356,286,415,472316996,0,0,0,
348733806,1429632853,0,12977,353,325,416,472086906,0,0,0,
338814027,1394966839,0,12202,353,286,415,479023756,0,0,0,
338811493,1403535338,0,12181,356,265,418,482073898,0,0,0,
338815973,1403027908,0,12774,358,412,418,481775685,0,0,0,
338784294,1391523689,0,11604,349,356,419,481731650,0,0,0,
338745697,1392193372,0,12682,353,313,415,481278359,0,0,0,
336092490,1389331114,0,11957,354,304,434,482311939,0,0,0,
335365670,1392110160,0,12663,356,372,341,481456678,0,0,0,
332994695,1388382671,0,12514,362,409,340,480782156,0,0,0,
333860588,1389376552,0,11581,300,230,346,477243086,0,0,0,
336323807,1393394394,0,12683,301,312,342,478710997,0,0,0,
