PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_LL_MISS,PERF_COUNT_SW_PAGE_FAULTS_MIN,PERF_COUNT_SW_PAGE_FAULTS_MAJ,
184751660,438105463,0,24,104,0,0,
184723178,438023818,0,24,96,0,0,
184751404,438099565,0,24,77,0,0,
184792262,438194775,0,24,116,0,0,
184695328,438002543,0,24,89,0,0,
184718020,438015857,0,24,102,0,0,
184766577,438111491,0,24,94,0,0,
184833665,438011738,0,24,116,0,0,
184737581,438104750,0,24,84,0,0,
184796072,438115631,0,25,142,0,0,
184669587,437915030,0,24,129,0,0,
184749103,438109596,0,24,109,0,0,
184737283,438014811,0,25,90,0,0,
184773167,438023721,0,24,114,0,0,
184852625,438194511,0,24,79,0,0,
184792686,438011982,0,24,115,0,0,
184817571,438105065,0,24,105,0,0,
184754014,438117762,0,24,96,0,0,
184704878,438022162,0,29,100,0,0,
184751168,438092486,0,24,104,0,0,
184917451,438091951,0,24,73,0,0,
184752479,438104596,0,24,90,0,0,
184651206,438015668,0,24,91,0,0,
184687510,438016566,0,24,96,0,0,
184685375,438002665,0,24,71,0,0,
184707691,438018230,0,24,112,0,0,
184729471,438013023,0,24,102,0,0,
184696912,438002854,0,24,86,0,0,
184668953,437931609,0,33,92,0,0,
184743881,438106212,0,24,88,0,0,
184741077,438096414,0,25,96,0,0,
184728641,438011191,0,24,97,0,0,
184742701,438103969,0,24,82,0,0,
184910054,438154920,0,1735,111,0,0,
184748343,438102051,0,29,61,0,0,
184749407,438104231,0,24,88,0,0,
184722501,438016267,0,24,94,0,0,
184739053,438106137,0,24,89,0,0,
184779202,438017675,0,24,145,0,0,
184676048,437841089,0,24,191,0,0,
184716151,438011350,0,24,89,0,0,
184732518,438017353,0,26,90,0,0,
184696850,437930460,0,32,94,0,0,
184773427,438102715,1,31,134,1,0,
184768517,438193068,0,24,55,0,0,
184845213,438012767,0,24,70,0,0,
184690434,438014939,0,30,99,0,0,
184786739,438100285,0,24,108,0,0,
184763533,438096345,0,24,85,0,0,
184777786,438116609,0,25,132,0,0,
184741348,438111852,0,24,78,0,0,
184738273,438021592,0,24,101,0,0,
184708560,438014631,0,24,86,0,0,
184737226,438091378,0,24,111,0,0,
184742804,438103997,0,24,68,0,0,
184871545,438199305,0,24,187,0,0,
184783013,438106227,0,24,159,0,0,
184869744,438091785,0,24,79,0,0,
184746946,438107188,0,24,94,0,0,
184746231,438105247,0,24,113,0,0,
184690237,438014669,0,24,65,0,0,
184686605,438002366,0,24,73,0,0,
184697262,438011091,0,24,60,0,0,
184720573,438015026,0,24,86,0,0,
184770212,438104584,0,24,95,0,0,
184726183,438023941,0,24,142,0,0,
184739415,438025817,0,24,100,0,0,
184731790,438010918,0,24,79,0,0,
184721349,438015571,0,24,85,0,0,
184741968,438103055,0,24,80,0,0,
184696358,438015525,0,24,85,0,0,
184708549,438014243,0,24,93,0,0,
184726882,438007554,0,24,88,0,0,
184711485,438016062,0,24,80,0,0,
184714443,438011901,0,24,128,0,0,
184736311,438106054,0,24,76,0,0,
184777831,438111158,0,24,107,0,0,
184727642,438011301,0,24,106,0,0,
184720194,438024529,0,24,100,0,0,
184725629,438014614,0,24,100,0,0,
184689067,438014807,0,24,73,0,0,
184719603,438022004,0,25,93,0,0,
184905333,437927274,0,28,91,0,0,
184698467,438014502,0,24,69,0,0,
184745531,438014466,0,33,110,0,0,
184702902,437921302,0,24,81,0,0,
184710473,438013206,0,24,71,0,0,
184767296,438103598,0,24,97,0,0,
184709811,438014572,0,24,118,0,0,
184787161,438099734,0,24,111,0,0,
184694697,437933747,0,24,78,0,0,
184841575,438024895,0,24,100,0,0,
184718211,438012946,0,24,83,0,0,
184860891,438143291,0,1736,98,0,0,
184718361,438016455,0,29,89,0,0,
184777355,438099944,0,27,125,0,0,
184741930,438015872,1,31,97,1,0,
184745978,438103147,0,24,76,0,0,
184700807,438011825,0,32,88,0,0,
184738247,438014844,0,24,92,0,0,
184710306,438015480,0,24,72,0,0,
184732632,438010563,0,24,96,0,0,
184750647,438019012,0,33,118,0,0,
184755552,438101008,0,24,103,0,0,
184677846,437923240,0,24,87,0,0,
184743027,438105027,0,24,103,0,0,
184745344,437914817,0,24,111,0,0,
184760048,438106527,0,26,111,0,0,
184636667,438018057,0,24,50,0,0,
184729254,438011905,0,24,94,0,0,
184678440,438024540,0,24,86,0,0,
184682469,437924147,0,24,78,0,0,
184694569,438002569,0,24,77,0,0,
184764287,438103938,0,24,85,0,0,
184653848,437851689,0,24,103,0,0,
184669265,438015400,0,24,74,0,0,
184715038,438013562,0,24,78,0,0,
184725718,438013382,0,24,103,0,0,
184723877,438016111,0,24,80,0,0,
184783436,438021520,0,24,173,0,0,
184764248,438018340,0,24,163,0,0,
184717347,438012369,0,24,114,0,0,
184487597,437826224,0,24,110,0,0,
184740517,438013545,0,24,94,0,0,
184671782,437928124,0,24,96,0,0,
184739995,438091556,0,24,119,0,0,
184773362,438103730,0,24,102,0,0,
184751786,438104110,0,24,75,0,0,
184702727,438003426,0,24,127,0,0,
184764262,438103872,0,24,81,0,0,
184744058,438018965,0,24,125,0,0,
184719359,438013604,0,24,94,0,0,
184763997,438103494,0,24,104,0,0,
184778056,438105450,0,24,114,0,0,
184790109,438183754,0,24,75,0,0,
184748103,438015371,0,24,106,0,0,
184793798,438013798,0,29,215,0,0,
184719042,438004171,0,24,161,0,0,
184717048,438016877,0,24,106,0,0,
184740219,438021354,0,24,112,0,0,
184706337,438017219,0,24,66,0,0,
184760071,438099837,0,24,99,0,0,
184766648,438100997,0,24,84,0,0,
184751374,438020234,0,24,126,0,0,
184657142,438015904,0,24,94,0,0,
184788915,438193726,0,24,120,0,0,
184750950,438028981,0,24,103,0,0,
184761412,438110854,0,28,80,0,0,
184744237,438103120,0,24,99,0,0,
184721406,437930448,1,29,91,1,0,
184771327,438101524,0,24,89,0,0,
184741262,438103923,0,24,85,0,0,
184662096,438016653,0,24,90,0,0,
184883286,438155163,0,1720,111,0,0,
184747830,438014277,0,28,95,0,0,
184758874,438109710,0,24,96,0,0,
184763438,438100078,0,24,79,0,0,
184695593,438005504,0,26,91,0,0,
184719587,438103945,0,24,83,0,0,
184728143,438016006,0,24,107,0,0,
184724952,438016548,0,24,75,0,0,
184752756,438103090,0,28,94,0,0,
184731095,438023531,0,30,89,0,0,
184745043,438091694,0,24,103,0,0,
184748407,438102828,0,24,97,0,0,
184711339,437923377,0,24,114,0,0,
184717589,438012121,0,24,123,0,0,
184732458,438010541,0,24,81,0,0,
184716492,438013913,0,24,94,0,0,
184709763,438014999,0,24,104,0,0,
184785544,438183437,0,24,77,0,0,
184745693,438022410,0,24,124,0,0,
184742856,438103116,0,24,79,0,0,
184768620,438098681,0,24,105,0,0,
184669985,437928283,0,24,76,0,0,
184742461,438100862,0,24,110,0,0,
184722004,437932606,0,24,118,0,0,
184687512,437922688,0,24,123,0,0,
184909958,438018721,0,24,100,0,0,
184733102,438111851,0,24,80,0,0,
184811357,438003268,0,24,77,0,0,
184766665,438105645,0,24,145,0,0,
184691255,438002576,0,24,81,0,0,
184746066,438103814,0,24,83,0,0,
184706023,438105314,0,24,68,0,0,
184576193,437914292,0,24,99,0,0,
184697057,438003707,0,24,103,0,0,
184688927,437927327,0,24,98,0,0,
184758365,438103105,0,24,106,0,0,
184690006,438003819,0,24,104,0,0,
184748428,438104235,0,24,85,0,0,
184722203,438019298,0,25,103,0,0,
184756859,438102799,0,25,84,0,0,
184722536,438104566,0,24,97,0,0,
184730116,438012553,0,24,88,0,0,
184736998,438024607,0,24,112,0,0,
184697920,438014135,0,24,113,0,0,
184747739,438105164,0,24,71,0,0,
184729270,438012854,0,24,76,0,0,
184759043,438014196,0,24,94,0,0,
184838414,438114120,0,28,194,0,0,
184762450,438107228,0,25,138,0,0,
184717253,438012519,0,24,90,0,0,
184723234,438013153,1,33,109,1,0,
184745877,438018850,0,24,109,0,0,
184715556,438010627,0,24,78,0,0,
184748651,438096430,0,24,84,0,0,
184745370,438020383,0,24,107,0,0,
184717173,438013915,0,24,101,0,0,
184709446,438013020,0,24,94,0,0,
184670666,437925528,0,24,73,0,0,
184697464,438010212,0,24,88,0,0,
184799739,438110691,0,37,108,0,0,
184769181,438108625,0,24,100,0,0,
184863330,438066745,0,1300,153,0,0,
184646974,437835153,0,24,77,0,0,
184721644,438006489,0,24,108,0,0,
184810020,438020610,0,24,194,0,0,
184701948,438003102,0,24,111,0,0,
184752557,438092992,0,24,145,0,0,
184724815,438022457,0,33,91,0,0,
184760219,438099742,0,24,100,0,0,
184746145,438103638,0,24,81,0,0,
184709916,438018087,0,24,120,0,0,
184746363,438011484,0,24,95,0,0,
184717305,438015496,0,24,80,0,0,
184755290,438104696,0,24,104,0,0,
184735628,438022533,0,25,159,0,0,
184737042,438104227,0,24,45,0,0,
184755916,438103731,0,24,87,0,0,
184701957,438010967,0,24,92,0,0,
184746243,438102210,0,24,105,0,0,
184720708,438015167,0,24,102,0,0,
184717519,438003990,0,24,122,0,0,
184746286,438104872,0,24,99,0,0,
184735076,438007254,0,24,139,0,0,
184680583,437935343,0,26,94,0,0,
184783244,438091692,0,24,88,0,0,
184778621,438110709,0,24,103,0,0,
184740580,438023295,0,24,119,0,0,
184720344,438016295,0,24,103,0,0,
184710047,438011727,0,24,96,0,0,
184685140,438015684,0,24,73,0,0,
184751538,438022913,0,24,128,0,0,
184768037,438099243,0,24,93,0,0,
184732880,438010191,0,24,88,0,0,
184654484,437927643,0,24,63,0,0,
184635463,437825553,0,24,99,0,0,
184726950,438013742,0,24,83,0,0,
184937306,438092700,0,24,103,0,0,
184721937,438015749,0,24,85,0,0,
184708095,438015372,0,24,73,0,0,
184692178,437925085,0,24,77,0,0,
184755933,438103477,0,24,92,0,0,
184711158,438013822,0,24,69,0,0,
184728725,438105261,0,24,77,0,0,
184845575,438024555,2,38,101,2,0,
184750618,438015091,0,24,139,0,0,
184708429,438012206,0,24,60,0,0,
184724469,438018611,0,26,122,0,0,
184698050,438010113,0,24,120,0,0,
184736828,438101310,0,24,75,0,0,
184849672,438089897,0,24,79,0,0,
184669916,437926435,0,24,75,0,0,
184697503,438013396,0,24,84,0,0,
184736583,438016652,0,24,102,0,0,
184794185,438191827,0,24,87,0,0,
184741640,438016576,0,25,94,0,0,
184750317,438018906,0,24,114,0,0,
184747171,438016257,0,24,91,0,0,
184833387,438102800,0,24,102,0,0,
184752641,438016233,0,24,92,0,0,
184814641,438024352,0,24,108,0,0,
184737012,438012331,0,24,93,0,0,
184790596,438027928,0,1143,83,0,0,
184732107,438016694,0,24,103,0,0,
184676682,437929707,0,39,89,0,0,
184714175,438015455,0,24,64,0,0,
184764571,438103370,0,24,78,0,0,
184726268,438013537,0,24,69,0,0,
184742322,437928505,0,24,117,0,0,
184759413,438009126,0,24,137,0,0,
184753595,438107716,0,24,166,0,0,
184714676,438013452,0,24,79,0,0,
184740909,438105574,0,24,137,0,0,
184548852,438093186,0,24,93,0,0,
184609468,437824929,0,24,74,0,0,
184777992,438193949,0,24,97,0,0,
184669553,437927692,0,24,84,0,0,
184708217,438016369,0,24,104,0,0,
184724343,438014687,0,24,78,0,0,
184673767,437926596,0,24,92,0,0,
184723151,438021662,0,24,93,0,0,
184697513,438000705,0,25,100,0,0,
184707484,438014349,0,24,96,0,0,
184674602,438015999,0,24,84,0,0,
184686387,438015232,0,24,75,0,0,
184738807,438020975,0,24,140,0,0,
184751156,438019271,0,24,160,0,0,
184728343,438006006,0,24,113,0,0,
184719240,438015919,0,24,82,0,0,
184768787,438110817,0,24,108,0,0,
184744830,438102416,0,24,65,0,0,
184735496,438102398,0,24,83,0,0,
184777697,438101165,0,24,104,0,0,
184699784,437930026,0,25,91,0,0,
184728753,438011220,0,24,82,0,0,
184740369,438012733,0,24,80,0,0,
184723018,438029392,0,24,98,0,0,
184734773,438015864,1,31,116,1,0,
184884096,438015468,0,24,98,0,0,
184736201,438014381,0,24,104,0,0,
184765236,438104673,0,24,88,0,0,
184800679,438193950,0,24,118,0,0,
184726337,438012528,0,24,99,0,0,
184547099,438091662,0,24,92,0,0,
184926442,438092224,0,24,98,0,0,
184771533,438102243,0,24,110,0,0,
184684357,438014246,0,24,87,0,0,
184729957,438014883,0,24,106,0,0,
184700507,437927563,0,24,84,0,0,
184684820,438004296,0,24,76,0,0,
184697096,438002783,0,24,98,0,0,
184658980,437839372,0,25,126,0,0,
184782880,438114805,0,24,105,0,0,
184750545,438104133,0,24,107,0,0,
184700665,438011724,0,24,93,0,0,
184757292,438021001,0,24,141,0,0,
184708717,438015546,0,24,57,0,0,
184709896,438015420,0,24,83,0,0,
184694248,438016387,0,24,66,0,0,
184734319,438014659,0,24,85,0,0,
184733989,438006675,0,24,92,0,0,
184842509,438099600,0,24,113,0,0,
184903197,438220075,1,1356,95,1,0,
184700057,438012910,0,33,84,0,0,
184735456,438104674,0,24,87,0,0,
184722969,438010742,0,24,122,0,0,
184764070,438112785,0,27,116,0,0,
184764510,438017437,0,33,163,0,0,
184714105,438024765,0,24,94,0,0,
184691186,437933009,0,27,93,0,0,
184768295,438012224,0,24,120,0,0,
184757449,438103981,0,25,100,0,0,
184715599,438091043,0,24,61,0,0,
184691326,437931228,0,28,96,0,0,
184720306,438007038,0,24,75,0,0,
184728895,438010835,0,24,107,0,0,
184742972,438096214,0,24,84,0,0,
184725766,438012040,0,24,101,0,0,
184868209,438102460,0,24,93,0,0,
184690005,438014293,0,24,92,0,0,
184748611,438103702,0,24,91,0,0,
184840905,438106365,1,31,93,1,0,
184918522,438004342,0,24,107,0,0,
184725273,437923403,0,26,98,0,0,
184718991,438020656,0,24,85,0,0,
184706350,438013232,0,24,94,0,0,
184899017,438015334,0,24,91,0,0,
184770332,438106950,0,24,145,0,0,
184698779,438011637,0,24,60,0,0,
184743843,438023321,0,24,145,0,0,
184795004,438021366,1,31,167,1,0,
184699484,438015023,0,24,126,0,0,
184734198,438008527,0,24,96,0,0,
184627695,437826261,0,24,96,0,0,
184761427,438013077,0,94,169,0,0,
184761610,438017280,0,28,155,0,0,
184709191,438013265,0,24,67,0,0,
184765018,438111972,0,33,111,0,0,
184685355,438015732,0,24,87,0,0,
184639823,437915782,0,26,69,0,0,
184759750,438105165,0,24,111,0,0,
