PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_DTLB_ACCESSES,PERF_COUNT_SW_CPU_MIGRATIONS,PERF_COUNT_SW_PAGE_FAULTS_MIN,PERF_COUNT_SW_PAGE_FAULTS_MAJ,
105291924,312082496,1,2150168,38,861,36,44305761,0,1,0,
131611953,324391751,1,2146518,36,764,34,44294140,0,1,0,
131604790,324400254,1,2158396,38,771,25,44297754,0,1,0,
140239150,324418070,0,2172223,25,837,10,44301766,0,0,0,
142617083,324524217,0,2166206,14,767,23,44322299,0,0,0,
142574523,324433983,0,2177010,24,299,32,42782646,0,0,0,
142561485,318889823,0,2169006,33,307,31,41617952,0,0,0,
142559338,312045072,0,2164383,35,521,33,41616188,0,0,0,
139759658,315042642,0,2154275,34,817,32,42285077,0,0,0,
131599991,324464861,3,2154367,128,925,134,44310113,0,3,0,
132181430,324474729,10,2163850,47,771,18,44314386,0,10,0,
142638969,324478041,11,2166295,22,829,19,44316992,0,11,0,
142640828,324496458,10,2167032,22,391,51,44315345,0,10,0,
142671752,324557442,10,2173001,35,494,49,41834389,0,10,0,
142632840,314405480,9,2164300,48,349,44,41605864,0,9,0,
142685794,311793205,10,2174923,56,376,56,41610290,0,10,0,
135419877,319735744,10,2152134,45,834,43,43335377,0,10,0,
131600176,324495346,9,2153745,45,925,35,44322200,0,9,0,
136656383,324520604,10,2168877,39,798,14,44320434,0,10,0,
142677155,324554894,9,2171012,22,765,27,44331387,0,9,0,
142696998,324780970,10,2171619,28,274,46,43649785,0,10,0,
142628496,322392726,10,2164744,51,340,47,41613019,0,10,0,
142693764,311958140,9,2179730,47,356,45,41606344,0,9,0,
142618461,312007374,10,2144745,44,740,45,41612553,0,10,0,
131608173,324461901,10,2163730,49,911,45,44314279,0,10,0,
131599984,324562421,9,2168724,51,763,34,44331960,0,9,0,
141263256,324535974,10,2168679,41,935,15,44332192,0,10,0,
142667103,324475505,10,2173464,19,825,30,44319611,0,10,0,
142690084,324578070,9,2173172,31,280,48,42541159,0,9,0,
142738450,317519314,12,2180982,60,384,56,41581541,0,12,0,
142661323,311983784,10,2176135,45,322,45,41609413,0,10,0,
138335989,316642142,10,2156682,48,788,45,42646089,0,10,0,
131611006,327028634,10,2169856,571,8319,552,44741642,0,10,0,
134887939,324511793,10,2176113,43,944,17,44319432,0,10,0,
142637949,324469732,9,2168115,22,772,25,44314465,0,9,0,
142664491,324461039,11,2180907,34,291,61,44056079,0,11,0,
142638797,324451719,12,2167961,58,366,56,41609043,0,12,0,
