PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_LL_MISS,PERF_COUNT_SW_PAGE_FAULTS_MIN,PERF_COUNT_SW_PAGE_FAULTS_MAJ,
46286678,109565394,7,36,86,7,0,
46234721,109550305,4,32,28,4,0,
46280557,109524758,9,47,39,9,0,
46219279,109548268,4,31,46,4,0,
46283207,109569757,8,45,38,8,0,
46241177,109555762,7,39,30,7,0,
46259712,109569080,8,49,57,8,0,
46248246,109560264,9,45,32,9,0,
46253972,109567559,10,49,34,10,0,
46249392,109562947,10,44,56,10,0,
46259478,109562634,8,37,19,8,0,
46263160,109565078,8,41,32,8,0,
46224261,109557554,6,33,22,6,0,
46237158,109517047,8,36,35,8,0,
46256769,109612607,8,38,29,8,0,
46259633,109559204,9,39,22,9,0,
46270649,109564099,7,89,46,7,0,
45840141,109548010,4,31,41,4,0,
45819693,109510731,6,29,84,6,0,
45893410,109572891,9,41,54,9,0,
45887251,109558274,9,40,49,9,0,
45860071,109525574,7,36,62,7,0,
45862449,109559166,11,41,48,11,0,
45844430,109555297,8,36,29,8,0,
45807641,109539848,2,19,44,2,0,
45860888,109569019,8,39,38,8,0,
45864442,109561547,9,38,39,9,0,
45917897,109663591,7,39,49,7,0,
45852359,109556657,8,35,25,8,0,
45857411,109565030,9,38,26,9,0,
45834088,109554300,4,27,32,4,0,
45862718,109560091,8,38,33,8,0,
45876616,109557352,7,39,48,7,0,
45851477,109553478,9,39,27,9,0,
45847448,109560351,6,36,23,6,0,
45850533,109557661,8,36,32,8,0,
45869561,109576305,9,39,40,9,0,
45942577,109601070,10,47,33,10,0,
45935512,109625646,7,71,155,7,0,
45828811,109553471,6,30,9,6,0,
45869593,109567192,8,38,36,8,0,
45883234,109565699,11,48,30,11,0,
45861407,109566772,7,35,33,7,0,
45842776,109543177,3,26,28,3,0,
45894064,109616270,9,43,43,9,0,
45833332,109552092,6,33,24,6,0,
45873456,109575080,10,44,31,10,0,
45851200,109557574,8,37,29,8,0,
45847935,109552412,4,28,30,4,0,
45872406,109554731,8,38,30,8,0,
45936595,109559192,7,34,38,7,0,
45845978,109560046,8,35,28,8,0,
45857704,109561606,8,40,38,8,0,
