PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_LLC_MISS,
145482543,361649247,107884,10,31,2602449,103,
179565031,374143715,34810169,9,4418,3003301,42457,
158565258,375554152,77190,10,40,2542707,182,
145296345,349450097,104322,10,36,2589905,37,
158666726,375881665,82720,9,44,2508251,92,
145321500,344234470,116416,10,34,2607880,62,
158507288,375531771,98771,10,28,2404640,76,
147454896,344343194,94700,9,30,2596836,91,
158502084,375577143,105407,10,30,2400449,92,
149989387,344372917,85711,10,35,2593356,72,
158493891,375591056,96658,9,28,2412482,54,
152446968,344396805,85700,10,35,2596738,88,
158483568,375535660,94109,9,28,2388006,85,
154722183,344294730,94592,10,36,2607905,55,
158559280,375599578,111827,10,31,2369596,91,
157211736,344369976,92046,9,30,2617406,98,
158473073,375494414,99799,10,26,2368019,77,
146585129,344491352,96730,10,31,2596652,131,
158500537,375485167,106353,9,27,2396660,184,
148963327,344346433,102663,10,33,2618613,68,
158592668,375621927,107555,10,51,2388610,108,
164994623,344278749,10109381,9,2549,2822705,78984,
156748560,375562907,101137,10,39,2417896,69,
158525970,365801343,99086,9,27,2615309,81,
154272357,375695665,99505,10,35,2463401,57,
158435834,371605409,97677,9,29,2609733,90,
151850322,375578592,103809,10,35,2469666,36,
158514520,346169921,106939,10,34,2596434,92,
149330660,375569659,98935,10,37,2545568,73,
158538184,352455122,104520,9,26,2617730,88,
146842615,375367861,92542,10,35,2571155,72,
158531758,357851332,105483,10,88,2607605,155,
157641806,375586223,101502,9,35,2404547,52,
158499362,363326680,88042,10,29,2617441,66,
155360376,375788157,102348,9,28,2430376,53,
158514800,369047459,86469,10,30,2623771,92,
152819091,375805208,104125,10,36,2477523,45,
155748659,344352496,86644,10,35,2603648,57,
158605767,375650940,95151,9,27,2395000,75,
191946054,375535321,19598058,10,3661,3003495,111347,
147251432,344253033,92910,9,32,2598392,99,
158480094,375598912,98819,10,30,2404014,65,
149688654,344363027,85864,10,38,2599769,44,
158530882,375537883,104836,9,96,2381968,111,
152160769,344395536,98924,10,38,2592820,95,
158489268,375625166,96286,9,24,2377348,56,
154511258,344237658,102481,10,36,2602500,53,
158481253,375578615,99369,10,29,2405204,78,
156905753,344393334,99461,9,34,2606193,105,
158504859,375621931,102212,10,24,2372142,57,
146078083,344554335,95355,10,32,2625225,78,
158398369,375896829,109103,9,25,2394418,90,
148418264,344228482,99885,10,35,2604082,97,
158555558,375516227,106989,9,25,2382002,63,
150840190,344331566,100637,10,31,2617832,35,
158498619,375529253,103989,10,23,2378469,90,
153266842,344241577,91585,10,38,2613694,63,
158567327,375530858,98058,9,28,2389142,74,
155767386,344394330,96560,10,35,2601161,45,
165967979,375563824,10151082,10,2644,2618446,124,
158462971,374619770,95982,9,36,2583470,53,
145414165,356062419,97161,9,35,2612194,84,
158499290,375542124,76719,10,32,2558836,74,
145345774,350211552,105358,10,33,2601766,48,
158574544,375622559,87112,10,30,2532883,74,
145344080,344369240,97749,9,33,2611056,78,
158456172,375562051,87565,10,30,2504585,67,
145348604,369957458,89277,9,33,2621521,72,
158597110,375565381,88407,10,31,2416312,117,
145343892,364332336,104496,10,38,2614894,91,
158547150,375619024,68907,9,31,2386783,69,
145353491,358217751,107140,10,35,2603677,62,
158681217,376224523,86428,10,30,2585499,119,
145270828,351947567,89185,9,31,2607354,53,
158515929,375588585,75769,10,33,2529491,80,
145410787,346096246,115768,10,37,2618433,79,
158473436,375524635,84728,9,58,2386116,116,
152897623,344377338,93247,10,36,2597290,80,
158564165,375525335,109080,9,33,2384972,107,
155299468,344344159,99328,10,35,2605237,60,
158597385,375663633,108698,10,93,2378255,228,
157849076,344401124,104707,9,32,2603221,193,
