PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_DTLB_ACCESSES,PERF_COUNT_SW_CPU_MIGRATIONS,PERF_COUNT_SW_PAGE_FAULTS_MIN,PERF_COUNT_SW_PAGE_FAULTS_MAJ,
793120913,1107641058,16467,1400797,12381,134982,12544,166309801,0,16467,0,
818509003,1135899480,16493,1696086,14760,858741,14495,172066993,0,16493,0,
791728067,1105966768,16488,1367987,12523,133775,12404,165490232,0,16488,0,
1139730616,1610553580,24085,2564726,19689,434317,18655,244814987,0,24085,0,
793489600,1107911085,16481,1365053,12503,137698,12353,166307273,0,16481,0,
560893283,781451422,14485,1119240,10982,112138,11172,120098091,0,14485,0,
812271074,1136368869,16451,1382218,13483,760331,13599,173761123,0,16451,0,
859250465,1213240802,17728,1418641,13369,148608,13549,182564743,0,17728,0,
823015052,1161104189,16602,1976313,13637,747890,12723,170900881,0,16602,0,
788775631,1103005513,16435,1372397,12496,139499,12363,165599817,0,16435,0,
573973942,795786780,14550,1129163,11121,108752,11126,123537828,0,14550,0,
1314837239,1846559554,28085,2332278,21347,629687,22876,280021853,0,28085,0,
787524313,1101858566,16430,1361655,12480,139633,12385,165697222,0,16430,0,
795743063,1122064175,16465,1793018,15209,1041046,15105,168324317,0,16465,0,
789155760,1103052663,16488,1379399,12517,138526,12513,166407767,0,16488,0,
789016864,1102320336,16369,1405350,12291,136158,12374,163046291,0,16369,0,
794591879,1109503898,16460,1658236,14622,851014,14752,171761875,0,16460,0,
693145921,962608844,15545,1266973,11654,125154,11938,146317788,0,15545,0,
791294877,1105678194,16456,1369180,12389,134233,12509,165917667,0,16456,0,
1624903387,2285206588,35167,3386036,27940,536257,26718,344962839,0,35167,0,
795984537,1111704964,16516,1380330,12415,134376,12608,167022868,0,16516,0,
924505128,1304416922,18998,1596942,15446,775697,15643,196122457,0,18998,0,
789243741,1103828456,16509,1373928,12610,140417,12591,165631522,0,16509,0,
795082168,1129508070,16458,1943514,13534,749068,12993,169620772,0,16458,0,
796850966,1111612570,16523,1351596,12405,135786,12616,167065264,0,16523,0,
792576743,1106507932,16465,1370927,12396,137155,12532,166133854,0,16465,0,
812813486,1149516780,16468,1639968,12687,527008,13312,174756246,0,16468,0,
1691190899,2374357109,36870,3132713,29406,501520,29297,354016197,0,36870,0,
736630045,1015030421,15874,1293979,11993,129285,12052,155221282,0,15874,0,
789207008,1105704565,16457,1385372,12512,138487,12528,165582619,0,16457,0,
801473450,1121162740,16523,1752705,15104,1032657,15322,172232639,0,16523,0,
794494008,1108361166,16481,1369005,12380,136641,12575,166498859,0,16481,0,
792790907,1107176764,16474,1384725,12513,132165,12659,166205852,0,16474,0,
813857148,1130880564,16449,1725839,14691,865233,14365,171130470,0,16449,0,
1949341916,2750347573,42918,3936590,34046,575623,32793,413367052,0,42918,0,
789054948,1103002494,16508,1369103,12630,138577,12640,165580520,0,16508,0,
789252439,1103425957,16468,1372239,12566,139956,12575,165630554,0,16468,0,
795510189,1117367566,16440,1355552,13409,759980,13980,174792609,0,16440,0,
