PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_MISS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_DTLB_ACCESSES,PERF_COUNT_SW_CPU_MIGRATIONS,PERF_COUNT_SW_PAGE_FAULTS_MIN,PERF_COUNT_SW_PAGE_FAULTS_MAJ
332772491,1387121545,4,11415,382,303,375,477115423,0,4,0
333948881,1389133615,6,24089,346,325,417,476957015,0,6,0
338892681,1399459576,4,10463,338,253,455,478277537,0,4,0
341282529,1410020023,4,23176,334,323,465,476721165,0,4,0
346631802,1424768254,6,11783,346,299,480,476632784,0,6,0
338823670,1402812038,4,21875,332,361,477,473744659,0,4,0
338819223,1402783925,6,12470,359,335,483,472321710,0,6,0
348765690,1433283034,4,11101,401,529,476,473134534,0,4,0
338813266,1403950122,4,23609,396,396,478,484066813,0,4,0
336699928,1380268419,6,11319,404,266,453,483810717,0,6,0
327856498,1378773701,4,22693,375,259,379,481374619,0,4,0
331663225,1390148667,6,11932,318,290,415,473499661,0,6,0
342535553,1413714319,4,22104,315,237,459,476480403,0,4,0
348250106,1431302476,4,11433,328,259,472,475616327,0,4,0
338796754,1402736413,6,22384,332,374,479,472561325,0,6,0
348770404,1434619846,4,11493,404,498,483,473736098,0,4,0
338801546,1405140813,6,23998,397,322,488,484132180,0,6,0
336789633,1379745461,4,10887,394,293,448,483870212,0,4,0
328467950,1379772398,4,23491,373,264,391,481787579,0,4,0
339033779,1396492316,6,11269,338,237,389,479735254,0,6,0
330577090,1386756269,4,23444,327,312,394,473729150,0,4,0
341265641,1415799400,6,12465,320,256,452,473643256,0,6,0
338782712,1408880981,4,22058,330,363,456,474258567,0,4,0
348756171,1437358787,6,12700,391,378,460,474765914,0,6,0
338806804,1396793862,4,11564,398,410,477,483602167,0,4,0
334042304,1379135713,4,24195,399,322,435,484168209,0,4,0
328152848,1379438001,6,11822,391,277,394,478820251,0,6,0
333927550,1395788744,4,22798,331,290,421,473791364,0,4,0
344464580,1424607426,6,11501,332,249,483,473689463,0,6,0
338775892,1403978377,4,22662,339,335,461,472784635,0,4,0
