PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_LLC_MISS,
33014257,91039373,39776,5,19,2095,7,
43746677,109464566,31367,5,19,2655,26,
46188709,86921021,32360,5,17,2348,8,
33103159,78361469,42462,5,12,3667,3,
33059056,78948333,36832,4,18,2016,16,
46217597,109509671,26887,5,16,2243,7,
41870234,78341686,49872,5,18,3476,40,
33053428,78269826,33203,5,18,3145,4,
33088589,97702705,45413,5,17,2794,24,
46241118,109505256,29791,5,17,2484,24,
33919981,78297656,29599,4,11,2885,14,
33074778,78286915,47217,5,21,2464,15,
36057923,109553929,39706,5,15,2267,14,
46254493,105232808,43646,5,18,2994,35,
39177772,78350776,32322,5,20,3368,38,
33065999,91477532,50461,4,18,1712,38,
43881191,109506870,33930,5,20,2892,24,
46244589,86810385,38846,5,15,2706,11,
33063665,78301080,36838,5,16,3543,6,
33083259,78936659,49748,5,18,2169,17,
46253834,109552975,26863,5,19,2358,19,
41885608,78301669,43227,5,17,3213,22,
33051651,78266161,33155,4,18,2945,0,
33149984,97721120,56998,5,18,3169,38,
46222943,109508624,26870,5,18,2405,24,
33972549,78564069,48145,5,14,3644,32,
33064917,78297704,40498,4,18,2529,23,
35907064,109547568,46326,5,13,2509,31,
46247863,105681776,39843,5,18,2648,35,
39334408,78303922,41626,5,14,3191,17,
33092834,91279874,41003,5,20,2266,23,
43788883,109509711,40910,5,19,2941,31,
46230401,86837093,32312,4,15,2681,65,
33074476,78315125,36846,5,14,3408,5,
33084607,78902596,40047,5,20,2023,15,
46240798,109553556,27537,5,17,2831,21,
41885537,78308914,37094,5,18,3418,20,
33066333,78314682,33215,4,17,3022,7,
33119550,97537731,44732,5,14,2648,14,
46248712,109508246,29424,5,16,2513,25,
34081037,78369319,40092,5,12,3430,30,
33097857,78311413,48258,5,27,2700,35,
35859142,109503184,48718,5,14,2871,14,
46228214,105669475,36866,5,16,2966,25,
39258150,78304211,35790,4,11,2910,20,
33050679,91395421,42678,5,20,2185,23,
43839343,109506740,47149,5,16,3342,114,
46243749,86915904,32668,5,17,2348,20,
33116761,78365681,43237,5,15,3468,22,
33093465,78669074,40172,5,18,2329,22,
46227462,109547557,33243,4,17,2253,16,
41982658,78295992,37296,5,20,3215,24,
33081774,78335735,42408,5,25,3225,25,
33124044,97040963,56208,5,22,3605,48,
46211782,109503176,33671,4,14,2100,27,
34245049,78316848,32308,5,18,2982,24,
33107997,78365316,47483,5,23,2649,34,
35794772,109507611,39673,5,15,2378,17,
46248719,105937219,55800,5,21,3117,38,
39363006,78325836,32716,5,11,3209,27,
33081252,91220414,36727,4,18,2068,9,
43759602,109509243,31991,5,16,2967,22,
46218047,86985898,33335,5,15,2622,33,
33073406,78300763,36873,5,13,3380,16,
33065442,78874377,37194,4,17,2024,12,
46223036,109509598,29428,5,17,2800,15,
41973924,78471163,41964,5,26,3223,98,
33069236,78265751,46856,5,17,3263,9,
33091892,97475149,47064,5,18,2800,28,
46262385,109547565,27348,5,15,2632,24,
34012956,78275418,29384,4,12,2836,21,
33095071,78313213,48532,5,27,2693,38,
35877427,109509068,39866,5,15,2425,11,
46256796,105720936,46996,5,17,2800,27,
39305418,78328759,32329,5,11,3278,20,
33090253,91261816,46120,5,18,1998,17,
43823317,109509557,31545,4,16,2560,16,
46231470,86737946,38670,5,16,2557,19,
33077020,78309722,39744,5,14,3395,19,
33091333,79106722,52149,5,21,2547,27,
46258832,109552006,27089,5,16,2655,27,
41773001,78320019,36488,4,18,3046,22,
33056831,78307029,36304,5,19,2982,24,
33076285,97774881,50676,5,16,3014,15,
46228517,109508819,27905,5,15,2453,23,
33901161,78281010,41677,5,13,3230,20,
33095719,78324741,37686,5,21,2884,23,
36116814,109508392,38396,4,16,2205,17,
46266948,104783353,36914,5,19,2816,29,
38981270,78318737,35648,5,12,2919,51,
33062339,92113792,39752,5,17,2043,12,
44185874,109509493,37081,5,18,2839,31,
46205876,85942233,32390,4,15,2412,8,
33103130,78302706,44426,5,15,3627,47,
33071624,79754780,44137,5,22,2350,25,
46244678,109554196,27779,5,16,2291,42,
41542286,78305876,51780,5,17,4133,111,
33056140,78300020,33357,5,19,3001,13,
33101275,98621994,48694,4,16,2551,17,
46213869,109509680,26845,5,16,2159,21,
33580409,78300750,38656,5,12,3221,31,
33111974,78343696,40789,5,28,2610,41,
35391769,109504887,50949,5,20,2978,89,
46230574,106857242,33956,4,20,2646,30,
39856934,78295300,43257,5,21,3285,34,
33044805,78264125,36141,5,24,3058,20,
33091465,102483606,51021,5,16,3122,26,
46267284,109551782,29682,5,22,2431,19,
45141741,78320042,36839,5,18,3453,24,
33108126,78319098,37082,5,20,3560,27,
33117145,89932698,46217,4,25,2110,24,
43148182,109503171,34292,5,20,3007,28,
46203944,88267790,41591,5,20,2334,27,
33057709,78288030,42370,5,18,3641,12,
33038175,78195363,37906,4,22,2597,8,
38047909,109509773,39636,5,15,2125,19,
46236482,100587560,37769,5,21,2652,27,
37137378,78302838,35205,5,14,3290,40,
33092698,78297971,37641,5,22,3082,32,
33113938,108824887,49002,5,19,3161,25,
46222907,109509675,31183,5,21,2739,43,
42391540,78367400,33866,4,21,3066,11,
33070274,78282907,33081,5,24,3003,22,
33120127,96495686,53153,5,18,3156,27,
45921016,109509687,31314,5,25,2739,14,
46235331,81708064,39043,4,18,2579,39,
33096652,78292585,39429,5,16,3470,10,
33076862,83909859,46962,5,22,2390,14,
40634047,109508424,31676,5,23,3012,81,
46276831,94533697,46555,5,21,2909,45,
34628236,78294508,32225,5,15,3103,15,
33095894,78316661,47174,5,22,2855,23,
35342954,109509651,46268,5,16,2830,31,
46252121,107005126,46184,4,19,2797,39,
39858979,78283765,36828,5,22,3268,34,
33092332,78332051,39463,5,24,3310,10,
33080201,102169913,43849,4,16,2587,12,
46260790,109553215,33199,5,20,2377,34,
45290132,78255953,38208,5,20,3103,44,
33103081,78304851,46978,5,17,3923,35,
33073707,89573979,41066,5,21,2207,23,
43084386,109553823,41999,5,21,2854,52,
46256137,88598459,32091,4,16,2758,29,
33120406,78289804,40841,5,18,3711,57,
33078047,78316462,41464,5,23,2643,53,
37727848,109509695,50387,5,18,2333,44,
46235788,101211367,39614,5,22,3206,26,
37386948,78280951,29301,4,14,3114,23,
33094177,78323784,41219,5,23,2770,52,
33121276,108074072,49381,5,22,2882,21,
46251074,109506168,27028,5,19,2520,40,
42619857,78281660,36808,5,20,3155,25,
33080796,78320216,33678,5,25,3272,16,
33057578,96026991,41269,4,18,2593,22,
45797946,109509555,32144,5,19,3193,65,
46214192,82373221,32322,5,18,2586,20,
33106903,78351078,45963,5,18,3619,22,
33074563,83367007,39695,5,23,2354,6,
40467604,109552605,34254,5,19,2936,28,
46269987,94719091,42615,5,21,2712,30,
34670385,78313705,36482,4,13,2900,25,
33066726,78303105,40775,5,24,2837,30,
35205628,109547575,54929,5,21,2698,20,
46250226,107335343,36823,5,21,3018,21,
39964142,78309934,40261,4,18,3055,18,
33059680,78297076,36007,5,23,3087,11,
32997287,102366267,51157,5,16,2755,27,
46237520,109554168,26843,5,19,2278,24,
45135774,78308551,36783,5,20,3038,18,
33099049,78306898,55184,4,50,3822,119,
33076817,89910771,46211,5,21,2120,15,
43218536,109549609,32060,5,16,2982,33,
46237692,88388746,41374,5,21,2318,29,
33076366,78311175,39773,5,17,4351,15,
33080679,78299147,40591,5,26,2867,35,
38096733,109552589,39567,4,13,2437,24,
46252980,100424745,40123,5,21,2827,23,
37136816,78318748,35117,5,15,3190,15,
33081698,78295821,42130,5,25,2627,37,
33076696,108923239,41428,4,17,2704,28,
46241046,109465289,31180,5,19,2544,55,
42376359,78239773,43119,5,19,3068,26,
33060512,78316844,36410,4,21,3203,12,
33103617,96452820,54109,6,18,3109,44,
45973914,109509513,31753,5,23,2688,23,
46222920,81661095,44318,5,19,2637,21,
33084220,78289345,36818,5,21,3653,40,
33061012,84015923,46459,5,25,2334,26,
40813909,109509608,33894,4,21,2698,25,
46286909,94049996,51332,5,22,2983,83,
34268723,78323183,35183,5,14,3069,10,
33063655,78282978,44220,4,17,2698,24,
35698262,109464249,39636,5,15,2125,12,
46246985,106078479,46643,5,21,2806,35,
39534616,78307813,36790,5,23,3186,20,
33121373,78285051,45947,5,21,3212,26,
33088272,103112583,46004,5,22,2886,44,
46240604,109547567,34719,4,18,2302,36,
44754527,78329910,40908,4,19,3317,77,
33122666,78333218,40329,6,17,3715,47,
33071028,90700337,40423,5,22,2025,28,
43558795,109554065,43278,5,21,3046,38,
46215007,87405712,32228,4,18,2550,29,
33089167,78289207,37874,5,17,3538,23,
33091664,78312612,42178,5,25,2674,49,
38285899,109509014,39626,5,17,2341,19,
46264411,99984575,45514,5,20,2957,41,
36926733,78329458,32226,5,15,3046,21,
33080371,78341552,40378,4,19,2610,17,
33098369,109433798,44917,5,17,2931,32,
46254763,109553109,27296,5,18,2226,33,
42230593,78349609,39351,5,19,3270,24,
33088826,78348691,39486,5,22,3122,13,
33094406,96838143,41553,4,16,2675,14,
46140548,109503178,34628,5,17,2710,20,
46227507,81356727,38461,5,17,2828,35,
33099127,78314389,43805,5,20,3653,16,
33060425,84396005,39636,5,22,2095,17,
40912298,109509429,37005,5,19,2931,14,
46232985,93639284,33856,4,17,2747,41,
34288093,78345496,38573,5,16,2953,37,
33087324,78314831,44476,5,27,2757,24,
35795343,109509545,47650,5,20,2457,21,
46257515,105903096,36745,5,18,3191,37,
40887033,78375307,40604,5,35,3610,91,
33095262,78310293,33786,5,20,3127,27,
33089571,99986531,47593,4,20,2824,16,
46219957,109503680,29621,5,19,2507,16,
46174871,78298242,43104,5,19,3074,41,
33080032,78289801,36935,5,16,3745,19,
33055623,87587646,39262,4,19,1767,11,
42146885,109509494,41555,6,27,3026,38,
46247424,90870244,29263,4,15,2475,10,
33095022,78299145,37517,5,20,3109,29,
33065254,106099527,41213,4,15,2459,16,
46229930,109509380,24084,5,19,2187,20,
43649620,78304576,40431,6,19,3351,31,
33074402,78287246,33751,4,21,3105,38,
39433882,109509722,39579,5,15,2273,13,
46219344,97248528,34379,4,15,2842,33,
35793433,78320018,32222,5,15,3004,29,
33132061,78319420,53344,5,19,2924,41,
33970888,109462548,39617,5,13,2232,10,
46221736,79193373,41163,5,18,2669,19,
33050994,78228583,37220,5,15,3786,35,
33043371,86550163,46214,5,23,2017,23,
41864290,109509856,31682,5,21,2664,28,
46240824,91308958,35680,4,16,2481,21,
33085470,78352203,36269,5,21,3305,16,
33086810,105497146,51971,5,19,3353,22,
46220214,109503184,29331,5,16,2677,38,
43805604,78330073,43321,5,21,3106,31,
33075303,78315040,33038,4,18,2867,10,
39294976,109420557,52050,6,15,2493,12,
46216708,97363502,34095,4,15,2977,10,
35809437,78321780,42078,5,14,3207,30,
33142936,78329310,37729,5,21,3167,21,
