PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_L1D_ACCESS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_L3_ACCESS,PERF_COUNT_HW_CACHE_L3_MISS,
19881004,8889,3905,0,40,4582181,16761,0,0,
1130713,5160,39283,0,4,0,21553,47,0,
650994,58,19063,0,16,1771,3554,14,3,
860894,87,19761,0,19,3982867,0,22,6,
16873908,4524,3929,0,44,4573210,0,0,4,
19793103,9060,3988,0,4,2494258,34294,4,0,
401355,115,15861,0,15,893,4799,47,9,
858498,87,18264,0,20,3666584,0,19,1,
16890446,4524,3990,0,44,4580603,0,0,1,
10684168,9103,39653,0,4,1475,34418,17,0,
629072,82,15135,0,16,1770,3473,19,9,
18446744073676462218,78,18359,0,20,4568725,0,0,7,
19750336,8894,3919,0,37,4581298,16753,0,2,
1191374,5299,40170,0,4,0,21898,106,9,
637514,110,19666,0,16,1773,3616,49,7,
865721,77,17900,0,20,3927409,0,15,2,
16872672,4520,3957,0,44,4573204,0,0,3,
14825306,10279,37331,0,2,896788,39167,29,0,
631519,80,15555,0,16,1763,3543,54,9,
18446744073633495039,87,18401,0,20,4568841,0,0,5,
14105781,24478788,3937,0,18,4565921,0,0,0,
17017653,24242350,3956,0,4,4278486,19038,1,0,
398935,734,18144,0,7,903,5734,38,1,
861779,87,17776,0,19,2281926,0,13,6,
14105795,6159745,3959,0,19,4566105,0,0,0,
20101872,9616,3922,0,13,2693698,33564,1,0,
396760,120,15931,0,15,905,4675,27,9,
862600,87,18319,0,21,3779183,0,41,4,
16873711,4521,3948,0,44,4573205,0,0,4,
15696043,8036044,37358,0,2,1419042,35676,16,0,
630006,83,16204,0,18,1763,3489,42,0,
18446744073576903708,87,18417,0,20,4569464,0,0,21,
14107757,24343844,3933,0,18,4565880,0,0,4,
19793429,9038,3939,0,8,2599488,33648,4,0,
398790,129,14638,0,14,889,4378,30,5,
860986,87,18260,0,20,3607319,0,18,13,
16868698,4514,3956,0,44,4573212,0,0,1,
10906135,9098,40498,0,3,1726,34327,52,0,
631753,87,17629,0,16,1758,3543,63,0,
18446744073675311350,87,18702,0,20,4568791,0,0,11,
19896615,8908,3952,0,40,4582122,16767,0,2,
1059840,5072,38838,0,4,0,21167,63,1,
636545,137,19276,0,16,1756,3601,17,10,
861573,87,18311,0,21,3950636,0,8,2,
14101109,14105340,3928,0,18,4565893,0,0,4,
16960274,18606775,6920,0,2,3284773,18837,2,0,
397842,108,15930,0,15,894,4694,63,9,
860161,87,18295,0,20,3672837,0,9,0,
16887585,4520,3950,0,44,4580602,0,0,3,
10688397,9105,39679,0,4,1483,34387,19,0,
628695,87,15622,0,16,1763,3520,9,2,
18446744073593863716,88,18504,0,20,4576157,0,0,4,
17103036,24887461,3960,0,13,4574200,16696,0,2,
16962718,11814442,6810,0,2,2086429,18865,8,0,
419297,4266,43881,0,7,891,18668,28,3,
859527,90,20476,0,20,888278,0,24,17,
18446744073669677663,467798,16468,0,23,4570410,0,0,13,
15592766,22125667,3997,0,25,4570436,1677,0,0,
933005,4891,38843,0,4,0,20523,64,2,
635943,114,19441,0,16,1755,3633,30,20,
861316,87,20149,0,19,3948878,0,13,4,
16874407,4524,3931,0,44,4573205,0,0,15,
17522083,25026466,3955,0,15,4421235,18428,4,0,
5890137,7805,38818,0,4,0,31248,76,0,
628536,82,16552,0,16,1765,3434,62,12,
18446744073617002514,117,3911,0,17,4566316,0,42,9,
16659087,13574140,3956,0,35,4573156,1559,0,0,
1075179,4647,45361,0,4,0,21282,35,0,
655297,55,18003,0,17,1764,3406,40,3,
861699,87,13426,0,20,3964790,0,24,5,
16876721,4514,3952,0,44,4573233,0,0,4,
17020919,23174893,41066,0,2,4090762,18946,0,0,
396948,117,19039,0,18,903,5101,90,29,
866262,83,13002,0,20,3666833,0,27,9,
16878728,4390,3942,0,45,4573562,0,0,4,
12243149,1153940,69184,0,2,205021,35719,15,0,
632565,87,15054,0,16,1750,3473,18,3,
18446744073673874298,122,3916,0,17,4566531,0,35,4,
19927304,8881,3893,0,40,4582213,16708,0,1,
6424219,7439,61207,0,4,0,30674,58,2,
634811,83,15605,0,16,1746,3506,11,1,
6369059,116,3916,0,17,4567051,0,9,5,
19361400,8601,3896,0,35,4580422,16758,0,0,
780373,4614,41456,0,6,0,21380,23,1,
858611,87,15345,0,20,839591,0,46,7,
11631969,122,3929,0,19,4565480,0,9,3,
20853467,10672,34438,0,19,2680834,33571,0,0,
398488,133,16578,0,14,901,4470,38,19,
863450,87,11805,0,19,3597458,0,32,3,
18446744073632120501,122,3910,0,17,4573591,0,39,11,
17016889,11354117,3956,0,7,4573924,2007,0,11,
5621637,7765,62795,0,10,0,31842,12,0,
631485,87,15101,0,18,1767,3434,11,0,
7375325,117,3911,0,17,4566198,0,21,5,
19323070,8278,6878,0,2,4580651,17464,0,8,
17103687,23545293,42748,0,3,4156116,18941,0,0,
398609,119,15862,0,17,893,4701,26,0,
860121,87,13386,0,20,3655594,0,9,2,
14109473,12606579,3978,0,11,4565963,0,0,6,
21248028,11111,37366,0,2,3871660,34243,0,9,
396733,120,15862,0,17,901,4830,37,0,
861678,77,13055,0,20,3689480,0,15,0,
16874031,4438,3956,0,11,4573386,0,0,8,
777671,9062,70687,0,4,0,36158,20,19,
636120,83,17612,0,19,2598078,3555,12,0,
18446744073695089662,115,3921,0,18,4565468,0,11,0,
