PERF_COUNT_HW_CPU_CYCLES,PERF_COUNT_HW_USER_INSTRUCTIONS,PERF_COUNT_HW_KERNEL_INSTRUCTIONS,PERF_COUNT_SW_PAGE_FAULTS,PERF_COUNT_HW_CACHE_DTLB_MISS,PERF_COUNT_HW_CACHE_L1D_ACCESS,PERF_COUNT_HW_CACHE_L1D_MISS,PERF_COUNT_HW_CACHE_L3_ACCESS,PERF_COUNT_HW_CACHE_L3_MISS,
3726,429,12170,0,5,1768,3209,0,0,
488006,452,3928,0,6,3102,1933,0,0,
705133,87,6770,0,15,2924,1763,0,0,
710043,87,6805,0,15,2911,1771,0,0,
941866,88,9614,0,16,3682,0,0,0,
940045,87,7325,0,16,2256,0,0,0,
941456,87,9765,0,16,3749,0,0,0,
843352,124,4596,0,13,0,0,0,0,
842817,124,4574,0,13,0,0,0,0,
842242,124,4600,0,13,0,0,0,0,
846368,124,4601,0,13,0,0,0,0,
845614,124,4639,0,13,0,0,0,0,
839897,125,4594,0,13,0,0,0,0,
918022,143,4887,0,13,0,0,0,0,
926830,143,4942,0,13,0,0,0,0,
1150375,424,11917,0,2,901,1368,0,0,
1149661,429,12016,0,2,886,2594,0,0,
1155034,416,11908,0,2,901,2628,0,0,
1319409,2517,17727,0,2,5636,0,0,0,
1320191,2545,17822,0,2,5642,0,0,0,
1412592,456,24666,0,2,5592,0,0,0,
1320401,2490,14721,0,2,4956,0,0,0,
18446744073682902874,442,13173,0,8,5604,0,0,0,
484422,455,3904,0,15,3119,272,0,0,
490561,445,3902,0,15,3124,269,0,0,
710451,88,6799,0,15,2989,606,0,0,
721266,115,10332,0,15,2908,599,0,0,
709927,87,6836,0,15,2914,598,0,0,
18446744073699435954,105,4364,0,13,0,729,0,0,
4387,105,4345,0,13,0,758,0,0,
832238,107,4575,0,13,0,1397,0,0,
833070,105,4561,0,13,0,1407,0,0,
1012457,141,7721,0,2,903,2333,0,0,
1012689,143,7706,0,2,903,2347,0,0,
1015669,144,7655,0,2,878,2384,0,0,
396454,428,17337,0,5,2687,3815,0,0,
399744,450,22882,0,5,6563,2626,0,0,
400957,2499,15187,0,8,2863,0,0,0,
401862,2548,17638,0,8,5602,0,0,0,
573428,451,3918,0,15,3135,0,0,0,
573347,441,3874,0,15,3106,0,0,0,
927947,87,6779,0,14,1633,393,0,0,
932969,88,6809,0,14,1638,396,0,0,
695585,105,4360,0,13,0,733,0,0,
700096,107,4357,0,13,0,735,0,0,
837199,107,4602,0,13,0,1399,0,0,
840766,106,4581,0,13,0,1413,0,0,
1011804,140,7667,0,2,891,2373,0,0,
968033,448,15149,0,2,1916,4259,0,0,
400124,430,14875,0,5,2684,3800,0,0,
1218,433,17597,0,8,5589,0,0,0,
18446744073709140351,437,17617,0,8,5581,0,0,0,
18446744073709156055,440,17654,0,8,5560,0,0,0,
18446744073709149826,437,17673,0,8,4934,0,0,0,
18446744073709133492,429,15267,0,8,5603,0,0,0,
401286,438,17645,0,8,5597,0,0,0,
484090,455,3901,0,15,3123,268,0,0,
489322,1916,3912,0,15,3140,266,0,0,
711094,89,6810,0,15,2941,1760,0,0,
708682,88,6748,0,15,2931,1762,0,0,
702626,106,4386,0,13,0,733,0,0,
697585,108,4358,0,13,0,750,0,0,
832990,107,4569,0,13,0,1385,0,0,
840708,106,4582,0,13,0,1391,0,0,
1008129,142,7687,0,2,903,2337,0,0,
638213,418,20561,0,2,3768,3832,0,0,
404809,429,14899,0,5,2668,3818,0,0,
404452,442,17649,0,8,5587,0,0,0,
18446744073708344915,453,17693,0,8,5618,0,0,0,
574655,1882,3902,0,15,3133,0,0,0,
572287,1896,3915,0,15,3136,0,0,0,
